date,home,away,score,tier,result
1984-09-22,Peterborough United,Hartlepool United,3-1,4,H
1984-09-29,Oxford United,Carlisle United,4-0,2,H
1984-09-29,Torquay United,Peterborough United,0-0,4,D
1984-09-29,Newcastle United,West Ham United,1-1,1,D
1984-10-02,Colchester United,Torquay United,2-1,4,H
1984-10-03,Peterborough United,Scunthorpe United,3-1,4,H
1984-10-06,Leeds United,Sheffield United,1-1,2,D
1984-10-13,Manchester United,West Ham United,5-1,1,H
1984-10-13,Hartlepool United,Hereford United,2-2,4,D
1984-10-19,Southend United,Scunthorpe United,1-1,4,D
1984-10-20,Oxford United,Sheffield United,5-1,2,H
1984-10-20,Torquay United,Hartlepool United,0-1,4,A
1984-10-23,Scunthorpe United,Torquay United,2-0,4,H
1984-10-24,Hartlepool United,Southend United,2-1,4,H
1984-11-03,Torquay United,Hereford United,1-0,4,H
1984-11-09,Colchester United,Hartlepool United,1-0,4,H
1984-11-09,Scunthorpe United,Hereford United,1-1,4,D
1984-11-10,Leeds United,Carlisle United,1-1,2,D
1984-11-10,Southend United,Peterborough United,2-1,4,H
1984-11-24,Oxford United,Leeds United,5-2,2,H
1984-11-24,Hartlepool United,Scunthorpe United,3-2,4,H
1984-12-01,Colchester United,Peterborough United,3-1,4,H
1984-12-22,Torquay United,Southend United,2-2,4,D
1984-12-26,Colchester United,Hereford United,2-2,4,D
1984-12-29,Cambridge United,Rotherham United,0-2,3,A
1985-01-01,Hereford United,Southend United,3-0,4,H
1985-01-12,Peterborough United,Hereford United,1-1,4,D
1985-01-29,Southend United,Colchester United,2-5,4,A
1985-02-02,West Ham United,Newcastle United,1-1,1,D
1985-02-02,Carlisle United,Oxford United,0-1,2,A
1985-02-02,Peterborough United,Torquay United,1-0,4,H
1985-02-09,Newcastle United,Manchester United,1-1,1,D
1985-02-09,Hartlepool United,Peterborough United,0-3,4,A
1985-02-12,Scunthorpe United,Peterborough United,2-1,4,H
1985-02-23,Hereford United,Torquay United,1-0,4,H
1985-02-26,Carlisle United,Leeds United,2-2,2,D
1985-03-04,Southend United,Hartlepool United,1-1,4,D
1985-03-05,Torquay United,Scunthorpe United,0-0,4,D
1985-03-08,Scunthorpe United,Southend United,2-1,4,H
1985-03-09,Sheffield United,Oxford United,1-1,2,D
1985-03-09,Hartlepool United,Torquay United,3-1,4,H
1985-03-15,West Ham United,Manchester United,2-2,1,D
1985-03-16,Hereford United,Hartlepool United,2-1,4,H
1985-03-23,Sheffield United,Leeds United,2-1,2,H
1985-04-02,Colchester United,Scunthorpe United,1-1,4,D
1985-04-06,Hereford United,Colchester United,2-1,4,H
1985-04-08,Southend United,Hereford United,0-0,4,D
1985-04-13,Sheffield United,Carlisle United,0-0,2,D
1985-04-13,Hartlepool United,Colchester United,2-1,4,H
1985-04-13,Hereford United,Scunthorpe United,1-0,4,H
1985-04-13,Peterborough United,Southend United,1-4,4,A
1985-04-16,Torquay United,Colchester United,1-1,4,D
1985-04-19,Scunthorpe United,Hartlepool United,2-0,4,H
1985-04-27,Leeds United,Oxford United,1-0,2,H
1985-04-27,Peterborough United,Colchester United,0-1,4,A
1985-05-06,Rotherham United,Cambridge United,0-1,3,A
1985-05-11,Southend United,Torquay United,1-0,4,H
1985-08-17,Cambridge United,Hartlepool United,4-2,4,H
1985-08-17,Scunthorpe United,Torquay United,4-0,4,H
1985-08-26,Manchester United,West Ham United,2-0,1,H
1985-08-27,Cambridge United,Southend United,1-2,4,A
1985-08-31,Hereford United,Cambridge United,1-0,4,H
1985-08-31,Peterborough United,Scunthorpe United,1-0,4,H
1985-08-31,Torquay United,Colchester United,2-1,4,H
1985-09-04,Manchester United,Newcastle United,3-0,1,H
1985-09-07,Manchester United,Oxford United,3-0,1,H
1985-09-14,Southend United,Scunthorpe United,2-1,4,H
1985-09-17,Colchester United,Cambridge United,4-1,4,H
1985-09-18,Peterborough United,Torquay United,2-0,4,H
1985-09-21,Hereford United,Peterborough United,2-1,4,H
1985-09-21,Torquay United,Hartlepool United,1-3,4,A
1985-09-21,Newcastle United,Oxford United,3-0,1,H
1985-09-28,Leeds United,Sheffield United,1-1,2,D
1985-10-05,Newcastle United,West Ham United,1-2,1,A
1985-10-05,Hartlepool United,Peterborough United,2-1,4,H
1985-10-11,Scunthorpe United,Cambridge United,0-0,4,D
1985-10-12,Hereford United,Torquay United,4-1,4,H
1985-10-18,Colchester United,Scunthorpe United,1-1,4,D
1985-10-19,Hartlepool United,Hereford United,2-1,4,H
1985-10-22,Southend United,Colchester United,2-4,4,A
1985-10-25,Scunthorpe United,Hereford United,2-1,4,H
1985-10-26,Cambridge United,Peterborough United,3-1,4,H
1985-11-02,Hereford United,Colchester United,2-0,4,H
1985-11-06,Torquay United,Southend United,2-2,4,D
1985-11-09,Oxford United,West Ham United,1-2,1,A
1985-11-09,Southend United,Hartlepool United,3-2,4,H
1985-11-23,Carlisle United,Leeds United,1-2,2,A
1985-12-14,Hartlepool United,Colchester United,4-1,4,H
1985-12-14,Torquay United,Cambridge United,1-1,4,D
1985-12-26,Scunthorpe United,Hartlepool United,1-0,4,H
1985-12-28,Southend United,Cambridge United,1-0,4,H
1986-01-01,Sheffield United,Carlisle United,1-0,2,H
1986-01-01,Peterborough United,Southend United,1-1,4,D
1986-01-03,Colchester United,Hereford United,4-1,4,H
1986-01-11,Oxford United,Manchester United,1-3,1,A
1986-01-11,Cambridge United,Hereford United,4-0,4,H
1986-01-11,Colchester United,Torquay United,0-0,4,D
1986-01-11,Scunthorpe United,Peterborough United,2-0,4,H
1986-01-18,Hartlepool United,Cambridge United,2-1,4,H
1986-01-18,Torquay United,Scunthorpe United,1-0,4,H
1986-01-24,Scunthorpe United,Southend United,2-0,4,H
1986-02-02,West Ham United,Manchester United,2-1,1,H
1986-02-04,Colchester United,Southend United,2-0,4,H
1986-03-08,Peterborough United,Hartlepool United,3-1,4,H
1986-03-11,Torquay United,Peterborough United,2-0,4,H
1986-03-15,Cambridge United,Scunthorpe United,0-1,4,A
1986-03-15,Torquay United,Hereford United,2-1,4,H
1986-03-19,Oxford United,Newcastle United,1-2,1,A
1986-03-19,Hereford United,Southend United,2-1,4,H
1986-03-22,Hereford United,Scunthorpe United,1-1,4,D
1986-03-22,Peterborough United,Cambridge United,0-0,4,D
1986-03-26,Peterborough United,Hereford United,0-0,4,D
1986-03-29,Carlisle United,Sheffield United,1-0,2,H
1986-03-29,Southend United,Peterborough United,0-1,4,A
1986-03-31,Peterborough United,Colchester United,1-2,4,A
1986-04-01,Hartlepool United,Scunthorpe United,0-1,4,A
1986-04-04,Southend United,Torquay United,1-2,4,A
1986-04-09,Hereford United,Hartlepool United,2-2,4,D
1986-04-12,West Ham United,Oxford United,3-1,1,H
1986-04-12,Hartlepool United,Southend United,3-2,4,H
1986-04-15,Hartlepool United,Torquay United,1-0,4,H
1986-04-15,Scunthorpe United,Colchester United,1-1,4,D
1986-04-16,Newcastle United,Manchester United,2-4,1,A
1986-04-18,Southend United,Hereford United,3-1,4,H
1986-04-21,West Ham United,Newcastle United,8-1,1,H
1986-04-22,Sheffield United,Leeds United,3-2,2,H
1986-04-22,Colchester United,Peterborough United,5-0,4,H
1986-04-26,Leeds United,Carlisle United,2-0,2,H
1986-04-29,Cambridge United,Colchester United,1-3,4,A
1986-05-02,Colchester United,Hartlepool United,3-1,4,H
1986-05-03,Cambridge United,Torquay United,3-0,4,H
1986-08-23,Peterborough United,Southend United,2-0,4,H
1986-08-25,Manchester United,West Ham United,2-3,1,A
1986-08-29,Southend United,Hartlepool United,1-1,4,D
1986-08-30,Oxford United,West Ham United,0-0,1,D
1986-08-30,Leeds United,Sheffield United,0-1,2,A
1986-09-06,Hartlepool United,Cambridge United,2-2,4,D
1986-09-12,Colchester United,Torquay United,3-0,4,H
1986-09-16,Cambridge United,Torquay United,3-3,4,D
1986-09-16,Colchester United,Hartlepool United,2-1,4,H
1986-09-16,Southend United,Hereford United,2-0,4,H
1986-09-27,Colchester United,Peterborough United,1-3,4,A
1986-09-30,Scunthorpe United,Cambridge United,1-1,4,D
1986-10-01,Hereford United,Colchester United,2-3,4,A
1986-10-04,Hereford United,Peterborough United,2-0,4,H
1986-10-10,Southend United,Colchester United,1-1,4,D
1986-10-11,Hartlepool United,Hereford United,0-0,4,D
1986-10-17,Scunthorpe United,Torquay United,2-0,4,H
1986-10-18,Hartlepool United,Peterborough United,1-2,4,A
1986-10-31,Southend United,Torquay United,4-0,4,H
1986-11-01,Newcastle United,Oxford United,0-0,1,D
1986-11-04,Hartlepool United,Torquay United,2-1,4,H
1986-11-04,Southend United,Scunthorpe United,3-1,4,H
1986-11-08,Oxford United,Manchester United,2-0,1,H
1986-11-21,Scunthorpe United,Colchester United,5-2,4,H
1986-11-22,Cambridge United,Peterborough United,1-1,4,D
1986-11-22,Torquay United,Hereford United,1-1,4,D
1986-11-29,Hereford United,Scunthorpe United,2-2,4,D
1986-11-30,Newcastle United,West Ham United,4-0,1,H
1986-12-13,Hereford United,Cambridge United,2-3,4,A
1986-12-26,Colchester United,Cambridge United,1-2,4,A
1986-12-26,Peterborough United,Scunthorpe United,1-1,4,D
1986-12-27,Carlisle United,Rotherham United,3-5,3,A
1986-12-28,Cambridge United,Southend United,1-2,4,A
1987-01-01,Manchester United,Newcastle United,4-1,1,H
1987-01-01,Scunthorpe United,Hartlepool United,1-2,4,A
1987-01-03,Colchester United,Scunthorpe United,1-0,4,H
1987-01-03,Hereford United,Torquay United,2-2,4,D
1987-01-04,Peterborough United,Cambridge United,2-1,4,H
1987-01-10,Southend United,Peterborough United,2-2,4,D
1987-01-24,Cambridge United,Hartlepool United,3-0,4,H
1987-01-31,Torquay United,Colchester United,3-1,4,H
1987-02-06,Hartlepool United,Colchester United,1-0,4,H
1987-02-07,Hereford United,Southend United,0-1,4,A
1987-02-07,Sheffield United,Leeds United,0-0,2,D
1987-02-07,Torquay United,Cambridge United,1-0,4,H
1987-02-07,West Ham United,Oxford United,0-1,1,A
1987-02-21,Peterborough United,Colchester United,2-0,4,H
1987-02-27,Colchester United,Hereford United,2-0,4,H
1987-02-28,Cambridge United,Scunthorpe United,1-0,4,H
1987-03-03,Torquay United,Southend United,2-1,4,H
1987-03-14,Peterborough United,Hartlepool United,3-1,4,H
1987-03-14,Torquay United,Scunthorpe United,2-2,4,D
1987-03-20,Colchester United,Southend United,1-2,4,A
1987-03-21,Hereford United,Hartlepool United,4-0,4,H
1987-03-28,Peterborough United,Hereford United,2-1,4,H
1987-03-31,Torquay United,Peterborough United,1-0,4,H
1987-04-04,Manchester United,Oxford United,3-2,1,H
1987-04-11,Scunthorpe United,Southend United,3-0,4,H
1987-04-11,Torquay United,Hartlepool United,0-1,4,A
1987-04-11,Oxford United,Newcastle United,1-1,1,D
1987-04-14,West Ham United,Manchester United,0-0,1,D
1987-04-14,Hartlepool United,Southend United,1-0,4,H
1987-04-17,Hartlepool United,Scunthorpe United,0-2,4,A
1987-04-18,Newcastle United,Manchester United,2-1,1,H
1987-04-20,Scunthorpe United,Peterborough United,2-0,4,H
1987-04-21,Cambridge United,Colchester United,0-1,4,A
1987-04-25,Peterborough United,Torquay United,2-1,4,H
1987-05-01,Scunthorpe United,Hereford United,3-1,4,H
1987-05-02,West Ham United,Newcastle United,1-1,1,D
1987-05-04,Rotherham United,Carlisle United,2-1,3,H
1987-05-05,Southend United,Cambridge United,3-1,4,H
1987-05-09,Cambridge United,Hereford United,2-1,4,H
1987-08-15,Peterborough United,Carlisle United,1-0,4,H
1987-08-21,Colchester United,Torquay United,0-1,4,A
1987-08-22,Carlisle United,Scunthorpe United,3-1,4,H
1987-08-29,Peterborough United,Cambridge United,1-0,4,H
1987-08-29,Scunthorpe United,Colchester United,2-2,4,D
1987-08-31,Carlisle United,Hereford United,3-1,4,H
1987-09-05,Torquay United,Cambridge United,0-1,4,A
1987-09-12,Manchester United,Newcastle United,2-2,1,D
1987-09-12,Cambridge United,Scunthorpe United,3-3,4,D
1987-09-12,Carlisle United,Hartlepool United,1-3,4,A
1987-09-12,Colchester United,Peterborough United,4-1,4,H
1987-09-16,Hartlepool United,Cambridge United,2-1,4,H
1987-09-16,Hereford United,Colchester United,1-0,4,H
1987-09-19,Hartlepool United,Colchester United,3-1,4,H
1987-09-30,Hereford United,Peterborough United,0-1,4,A
1987-10-03,Peterborough United,Scunthorpe United,1-1,4,D
1987-10-16,Southend United,Rotherham United,1-1,3,D
1987-10-17,Oxford United,West Ham United,1-2,1,A
1987-10-17,Hartlepool United,Torquay United,0-0,4,D
1987-10-17,Hereford United,Scunthorpe United,2-3,4,A
1987-10-20,Colchester United,Carlisle United,1-0,4,H
1987-10-24,Cambridge United,Colchester United,0-1,4,A
1987-10-25,West Ham United,Manchester United,1-1,1,D
1987-10-31,Sheffield United,Leeds United,2-2,2,D
1987-10-31,Hartlepool United,Scunthorpe United,1-0,4,H
1987-10-31,Peterborough United,Torquay United,0-2,4,A
1987-11-03,Cambridge United,Hereford United,0-1,4,A
1987-11-07,Peterborough United,Hartlepool United,0-1,4,A
1987-11-21,Torquay United,Hereford United,1-0,4,H
1987-11-28,Carlisle United,Torquay United,3-3,4,D
1987-12-05,Oxford United,Newcastle United,1-3,1,A
1987-12-12,Manchester United,Oxford United,3-1,1,H
1987-12-18,Carlisle United,Cambridge United,2-1,4,H
1987-12-18,Scunthorpe United,Torquay United,2-3,4,A
1987-12-19,West Ham United,Newcastle United,2-1,1,H
1987-12-19,Hereford United,Hartlepool United,4-2,4,H
1987-12-26,Newcastle United,Manchester United,1-0,1,H
1988-01-01,Cambridge United,Peterborough United,1-3,4,A
1988-01-01,Colchester United,Scunthorpe United,0-3,4,A
1988-01-02,Hartlepool United,Carlisle United,0-0,4,D
1988-01-02,Peterborough United,Colchester United,2-0,4,H
1988-01-02,Scunthorpe United,Cambridge United,3-2,4,H
1988-01-15,Colchester United,Hartlepool United,0-0,4,D
1988-01-30,Hereford United,Carlisle United,2-0,4,H
1988-02-06,Cambridge United,Torquay United,1-0,4,H
1988-02-20,Carlisle United,Peterborough United,0-2,4,A
1988-02-24,Peterborough United,Hereford United,1-2,4,A
1988-02-27,Scunthorpe United,Peterborough United,5-0,4,H
1988-03-05,West Ham United,Oxford United,1-1,1,D
1988-03-05,Rotherham United,Southend United,1-1,3,D
1988-03-05,Scunthorpe United,Hereford United,3-0,4,H
1988-03-05,Torquay United,Hartlepool United,1-1,4,D
1988-03-19,Leeds United,Sheffield United,5-0,2,H
1988-03-19,Scunthorpe United,Hartlepool United,3-0,4,H
1988-03-19,Torquay United,Peterborough United,0-0,4,D
1988-03-25,Colchester United,Cambridge United,0-0,4,D
1988-03-26,Manchester United,West Ham United,3-1,1,H
1988-04-02,Hartlepool United,Peterborough United,0-1,4,A
1988-04-04,Hereford United,Torquay United,0-0,4,D
1988-04-12,Scunthorpe United,Carlisle United,1-0,4,H
1988-04-15,Torquay United,Colchester United,0-0,4,D
1988-04-19,Cambridge United,Hartlepool United,1-1,4,D
1988-04-19,Colchester United,Hereford United,1-0,4,H
1988-04-23,Carlisle United,Colchester United,4-0,4,H
1988-04-23,Hereford United,Cambridge United,1-0,4,H
1988-04-30,Newcastle United,Oxford United,3-1,1,H
1988-04-30,Torquay United,Carlisle United,1-0,4,H
1988-05-02,Oxford United,Manchester United,0-2,1,A
1988-05-07,Newcastle United,West Ham United,2-1,1,H
1988-05-07,Cambridge United,Carlisle United,1-2,4,A
1988-05-07,Hartlepool United,Hereford United,1-2,4,A
1988-05-07,Torquay United,Scunthorpe United,1-2,4,A
1988-08-27,Leeds United,Oxford United,1-1,2,D
1988-08-27,Carlisle United,Peterborough United,2-2,4,D
1988-08-27,Scunthorpe United,Hereford United,3-1,4,H
1988-09-03,Hereford United,Cambridge United,4-2,4,H
1988-09-10,Torquay United,Hartlepool United,2-0,4,H
1988-09-20,Scunthorpe United,Carlisle United,1-1,4,D
1988-09-24,Manchester United,West Ham United,2-0,1,H
1988-09-24,Carlisle United,Rotherham United,0-2,4,A
1988-09-24,Hartlepool United,Cambridge United,3-2,4,H
1988-09-30,Cambridge United,Carlisle United,3-2,4,H
1988-10-04,Carlisle United,Colchester United,1-2,4,A
1988-10-08,Colchester United,Scunthorpe United,1-2,4,A
1988-10-08,Hereford United,Carlisle United,2-1,4,H
1988-10-15,Carlisle United,Torquay United,2-1,4,H
1988-10-15,Scunthorpe United,Cambridge United,1-0,4,H
1988-10-21,Colchester United,Cambridge United,1-2,4,A
1988-10-22,Peterborough United,Hereford United,2-1,4,H
1988-10-22,Torquay United,Rotherham United,1-2,4,A
1988-10-22,West Ham United,Newcastle United,2-0,1,H
1988-10-25,Rotherham United,Colchester United,2-0,4,H
1988-10-29,Hartlepool United,Hereford United,1-1,4,D
1988-10-29,Peterborough United,Scunthorpe United,1-2,4,A
1988-11-08,Rotherham United,Scunthorpe United,3-3,4,D
1988-11-09,Peterborough United,Hartlepool United,0-1,4,A
1988-11-11,Colchester United,Torquay United,2-2,4,D
1988-11-12,Cambridge United,Rotherham United,1-1,4,D
1988-11-26,Hereford United,Rotherham United,1-1,4,D
1988-11-26,Scunthorpe United,Torquay United,1-0,4,H
1988-11-27,Newcastle United,Manchester United,0-0,1,D
1988-12-02,Torquay United,Cambridge United,3-1,4,H
1988-12-17,Sheffield United,Southend United,1-2,3,A
1988-12-17,Hartlepool United,Carlisle United,0-2,4,A
1988-12-26,Colchester United,Peterborough United,1-2,4,A
1988-12-26,Scunthorpe United,Hartlepool United,1-1,4,D
1988-12-30,Colchester United,Hartlepool United,1-2,4,A
1988-12-31,Torquay United,Peterborough United,1-0,4,H
1989-01-02,Hartlepool United,Rotherham United,1-1,4,D
1989-01-02,Hereford United,Torquay United,1-1,4,D
1989-01-03,Peterborough United,Cambridge United,1-5,4,A
1989-01-07,Peterborough United,Rotherham United,0-3,4,A
1989-01-14,Cambridge United,Hereford United,2-1,4,H
1989-01-21,West Ham United,Manchester United,1-3,1,A
1989-01-21,Oxford United,Leeds United,3-2,2,H
1989-01-21,Hereford United,Scunthorpe United,1-2,4,A
1989-01-21,Peterborough United,Carlisle United,1-4,4,A
1989-02-04,Carlisle United,Scunthorpe United,0-3,4,A
1989-02-11,Cambridge United,Hartlepool United,6-0,4,H
1989-02-11,Rotherham United,Carlisle United,2-1,4,H
1989-02-18,Carlisle United,Hereford United,3-0,4,H
1989-02-18,Scunthorpe United,Colchester United,2-3,4,A
1989-02-25,Cambridge United,Scunthorpe United,0-3,4,A
1989-02-28,Colchester United,Rotherham United,1-1,4,D
1989-03-04,Hereford United,Peterborough United,4-0,4,H
1989-03-04,Rotherham United,Torquay United,1-0,4,H
1989-03-05,Cambridge United,Colchester United,3-1,4,H
1989-03-14,Scunthorpe United,Peterborough United,3-0,4,H
1989-03-15,Hereford United,Hartlepool United,2-0,4,H
1989-03-18,Hartlepool United,Torquay United,0-1,4,A
1989-03-25,Cambridge United,Peterborough United,2-1,4,H
1989-03-25,Rotherham United,Hartlepool United,4-0,4,H
1989-03-25,Torquay United,Hereford United,1-0,4,H
1989-03-27,Hartlepool United,Scunthorpe United,0-2,4,A
1989-03-27,Peterborough United,Colchester United,3-0,4,H
1989-03-31,Southend United,Sheffield United,2-1,3,H
1989-04-01,Carlisle United,Hartlepool United,2-1,4,H
1989-04-04,Colchester United,Hereford United,1-1,4,D
1989-04-04,Rotherham United,Peterborough United,1-1,4,D
1989-04-08,Hartlepool United,Colchester United,2-1,4,H
1989-04-08,Peterborough United,Torquay United,3-1,4,H
1989-04-12,Hereford United,Colchester United,1-1,4,D
1989-04-15,Carlisle United,Cambridge United,1-1,4,D
1989-04-21,Colchester United,Carlisle United,1-1,4,D
1989-04-28,Torquay United,Scunthorpe United,0-2,4,A
1989-04-29,Rotherham United,Hereford United,6-0,4,H
1989-05-01,Hartlepool United,Peterborough United,2-1,4,H
1989-05-01,Scunthorpe United,Rotherham United,0-0,4,D
1989-05-03,Newcastle United,West Ham United,1-2,1,A
1989-05-03,Torquay United,Carlisle United,1-0,4,H
1989-05-06,Cambridge United,Torquay United,3-0,4,H
1989-05-13,Torquay United,Colchester United,1-3,4,A
1989-05-13,Manchester United,Newcastle United,2-0,1,H
1989-05-13,Rotherham United,Cambridge United,0-0,4,D
1989-08-19,Newcastle United,Leeds United,5-2,2,H
1989-08-19,Hereford United,Carlisle United,2-2,4,D
1989-08-19,Peterborough United,Maidstone United,1-0,4,H
1989-08-26,Cambridge United,Hereford United,0-1,4,A
1989-09-01,Southend United,Hartlepool United,3-0,4,H
1989-09-02,Hereford United,Maidstone United,3-0,4,H
1989-09-08,Colchester United,Hereford United,1-1,4,D
1989-09-13,Oxford United,Newcastle United,2-1,2,H
1989-09-15,Southend United,Torquay United,1-0,4,H
1989-09-16,Peterborough United,Scunthorpe United,1-1,4,D
1989-09-23,Hartlepool United,Peterborough United,2-2,4,D
1989-09-26,Cambridge United,Carlisle United,1-2,4,A
1989-09-26,Colchester United,Maidstone United,4-1,4,H
1989-09-26,Scunthorpe United,Torquay United,2-0,4,H
1989-09-27,Leeds United,Oxford United,2-1,2,H
1989-09-30,Carlisle United,Colchester United,1-0,4,H
1989-09-30,Maidstone United,Cambridge United,2-2,4,D
1989-10-07,West Ham United,Leeds United,0-1,2,A
1989-10-07,Hartlepool United,Scunthorpe United,3-2,4,H
1989-10-13,Cambridge United,Torquay United,5-2,4,H
1989-10-14,Sheffield United,West Ham United,0-2,2,A
1989-10-14,Hereford United,Southend United,0-3,4,A
1989-10-14,Scunthorpe United,Maidstone United,1-0,4,H
1989-10-17,Carlisle United,Scunthorpe United,0-1,4,A
1989-10-17,Torquay United,Hartlepool United,4-3,4,H
1989-10-21,Scunthorpe United,Colchester United,4-0,4,H
1989-10-21,Southend United,Maidstone United,0-1,4,A
1989-10-28,Carlisle United,Hartlepool United,1-0,4,H
1989-10-28,Colchester United,Peterborough United,0-1,4,A
1989-10-28,West Ham United,Oxford United,3-2,2,H
1989-10-28,Cambridge United,Scunthorpe United,5-3,4,H
1989-10-31,Hartlepool United,Cambridge United,1-2,4,A
1989-11-04,Carlisle United,Maidstone United,3-2,4,H
1989-11-04,Southend United,Peterborough United,0-0,4,D
1989-11-10,Colchester United,Cambridge United,1-2,4,A
1989-11-11,West Ham United,Newcastle United,0-0,2,D
1989-11-11,Peterborough United,Hereford United,1-1,4,D
1989-11-11,Torquay United,Carlisle United,1-2,4,A
1989-11-24,Southend United,Cambridge United,0-0,4,D
1989-11-25,Newcastle United,Sheffield United,2-0,2,H
1989-11-25,Peterborough United,Torquay United,1-1,4,D
1989-12-02,Carlisle United,Peterborough United,0-0,4,D
1989-12-02,Leeds United,Newcastle United,1-0,2,H
1989-12-02,Scunthorpe United,Southend United,1-1,4,D
1989-12-02,Hartlepool United,Hereford United,1-2,4,A
1989-12-09,Newcastle United,Oxford United,2-3,2,A
1989-12-16,Colchester United,Torquay United,0-3,4,A
1989-12-16,Hereford United,Scunthorpe United,1-2,4,A
1989-12-16,Maidstone United,Hartlepool United,4-2,4,H
1989-12-17,Cambridge United,Peterborough United,3-2,4,H
1989-12-26,Sheffield United,Leeds United,2-2,2,D
1989-12-26,Southend United,Colchester United,0-2,4,A
1989-12-26,Torquay United,Hereford United,1-1,4,D
1989-12-30,Torquay United,Maidstone United,2-1,4,H
1990-01-01,Oxford United,Sheffield United,3-0,2,H
1990-01-01,Colchester United,Hartlepool United,3-1,4,H
1990-01-06,Carlisle United,Southend United,3-0,4,H
1990-01-13,Hereford United,Cambridge United,0-2,4,A
1990-01-20,Carlisle United,Hereford United,2-1,4,H
1990-01-20,Maidstone United,Peterborough United,1-1,4,D
1990-02-06,Torquay United,Southend United,3-0,4,H
1990-02-07,Peterborough United,Hartlepool United,0-2,4,A
1990-02-10,Scunthorpe United,Peterborough United,0-0,4,D
1990-02-13,Hartlepool United,Southend United,1-1,4,D
1990-02-14,Maidstone United,Hereford United,2-0,4,H
1990-02-16,Southend United,Scunthorpe United,0-0,4,D
1990-02-17,Hereford United,Hartlepool United,4-1,4,H
1990-02-17,Peterborough United,Carlisle United,3-0,4,H
1990-02-24,Sheffield United,Newcastle United,1-1,2,D
1990-02-24,Torquay United,Peterborough United,2-1,4,H
1990-02-25,Cambridge United,Southend United,2-1,4,H
1990-03-03,Southend United,Carlisle United,2-0,4,H
1990-03-06,Cambridge United,Maidstone United,2-0,4,H
1990-03-06,Colchester United,Carlisle United,4-0,4,H
1990-03-10,Oxford United,Leeds United,2-4,2,A
1990-03-10,Maidstone United,Colchester United,4-1,4,H
1990-03-10,Torquay United,Scunthorpe United,0-3,4,A
1990-03-14,Hereford United,Colchester United,2-0,4,H
1990-03-17,Leeds United,West Ham United,3-2,2,H
1990-03-17,Scunthorpe United,Hartlepool United,0-1,4,A
1990-03-20,Southend United,Hereford United,2-0,4,H
1990-03-20,Torquay United,Cambridge United,3-0,4,H
1990-03-21,West Ham United,Sheffield United,5-0,2,H
1990-03-21,Maidstone United,Scunthorpe United,1-1,4,D
1990-03-24,Hartlepool United,Torquay United,1-1,4,D
1990-03-24,Scunthorpe United,Carlisle United,2-3,4,A
1990-03-31,Colchester United,Scunthorpe United,1-0,4,H
1990-03-31,Maidstone United,Southend United,3-0,4,H
1990-04-04,Carlisle United,Cambridge United,3-1,4,H
1990-04-07,Peterborough United,Colchester United,1-0,4,H
1990-04-07,Scunthorpe United,Cambridge United,1-1,4,D
1990-04-07,Oxford United,West Ham United,0-2,2,A
1990-04-07,Hartlepool United,Carlisle United,1-0,4,H
1990-04-10,Cambridge United,Hartlepool United,2-1,4,H
1990-04-14,Sheffield United,Oxford United,2-1,2,H
1990-04-14,Hartlepool United,Colchester United,0-2,4,A
1990-04-16,Leeds United,Sheffield United,4-0,2,H
1990-04-16,Colchester United,Southend United,0-2,4,A
1990-04-16,Hereford United,Torquay United,0-0,4,D
1990-04-21,Scunthorpe United,Hereford United,3-3,4,D
1990-04-21,Torquay United,Colchester United,4-1,4,H
1990-04-21,Hartlepool United,Maidstone United,4-2,4,H
1990-04-21,Peterborough United,Cambridge United,1-2,4,A
1990-04-25,Maidstone United,Torquay United,5-1,4,H
1990-04-28,Newcastle United,West Ham United,2-1,2,H
1990-04-28,Carlisle United,Torquay United,2-0,4,H
1990-04-28,Hereford United,Peterborough United,1-2,4,A
1990-04-29,Cambridge United,Colchester United,4-0,4,H
1990-05-05,Maidstone United,Carlisle United,5-2,4,H
1990-05-05,Peterborough United,Southend United,1-2,4,A
1990-08-28,Leeds United,Manchester United,0-0,1,D
1990-09-01,Peterborough United,Carlisle United,1-1,4,D
1990-09-08,Carlisle United,Maidstone United,1-0,4,H
1990-09-08,Scunthorpe United,Peterborough United,1-1,4,D
1990-09-09,Cambridge United,Southend United,1-4,3,A
1990-09-15,Hereford United,Carlisle United,4-2,4,H
1990-09-15,Maidstone United,Scunthorpe United,6-1,4,H
1990-09-18,Torquay United,Scunthorpe United,1-1,4,D
1990-09-22,Newcastle United,West Ham United,1-1,2,D
1990-09-22,Carlisle United,Hartlepool United,1-0,4,H
1990-09-23,Sheffield United,Leeds United,0-2,1,A
1990-09-29,Peterborough United,Torquay United,1-2,4,A
1990-10-03,West Ham United,Oxford United,2-0,2,H
1990-10-06,Hartlepool United,Maidstone United,1-0,4,H
1990-10-13,Oxford United,Newcastle United,0-0,2,D
1990-10-23,Hartlepool United,Peterborough United,2-0,4,H
1990-10-27,Cambridge United,Rotherham United,4-1,3,H
1990-10-27,Hartlepool United,Hereford United,2-1,4,H
1990-10-27,Torquay United,Carlisle United,3-0,4,H
1990-11-10,Maidstone United,Hereford United,1-1,4,D
1990-11-17,Manchester United,Sheffield United,2-0,1,H
1990-11-24,Hereford United,Peterborough United,0-0,4,D
1990-12-01,Rotherham United,Southend United,0-1,3,A
