date,home,away,score,tier,result
1929-11-16,Leeds United,West Ham United,1-3,1,A
1929-12-07,Carlisle United,Rotherham United,3-1,3,H
1929-12-14,Leeds United,Newcastle United,5-2,1,H
1929-12-21,Manchester United,Leeds United,3-1,1,H
1929-12-28,Manchester United,Newcastle United,5-0,1,H
1930-01-01,Sheffield United,West Ham United,4-2,1,H
1930-01-01,Hartlepool United,Rotherham United,5-1,3,H
1930-02-01,Manchester United,West Ham United,4-2,1,H
1930-02-08,Newcastle United,Sheffield United,3-5,1,A
1930-02-22,Torquay United,Southend United,1-1,3,D
1930-03-01,Hartlepool United,Carlisle United,1-0,3,H
1930-03-15,Leeds United,Sheffield United,2-2,1,D
1930-03-22,West Ham United,Leeds United,3-0,1,H
1930-04-12,Rotherham United,Carlisle United,4-1,3,H
1930-04-18,West Ham United,Sheffield United,1-0,1,H
1930-04-19,Newcastle United,Leeds United,2-1,1,H
1930-04-26,Leeds United,Manchester United,3-1,1,H
1930-05-03,Manchester United,Sheffield United,1-5,1,A
1930-05-03,Newcastle United,West Ham United,1-0,1,H
1930-05-03,Rotherham United,Hartlepool United,0-4,3,A
1930-09-08,Southend United,Torquay United,6-3,3,H
1930-09-13,Manchester United,Newcastle United,4-7,1,A
1930-09-17,Torquay United,Southend United,3-1,3,H
1930-09-20,Newcastle United,West Ham United,4-2,1,H
1930-10-11,West Ham United,Manchester United,5-1,1,H
1930-10-25,Sheffield United,Newcastle United,3-1,1,H
1930-11-01,Newcastle United,Leeds United,4-1,1,H
1930-11-01,West Ham United,Sheffield United,4-1,1,H
1930-11-15,West Ham United,Leeds United,1-1,1,D
1930-11-22,Sheffield United,Manchester United,3-1,1,H
1930-11-22,Hartlepool United,Carlisle United,3-5,3,A
1930-12-06,Hartlepool United,Rotherham United,4-2,3,H
1930-12-20,Leeds United,Manchester United,5-0,1,H
1931-01-01,Manchester United,Leeds United,0-0,1,D
1931-01-17,Newcastle United,Manchester United,4-3,1,H
1931-01-26,West Ham United,Newcastle United,3-2,1,H
1931-02-14,Manchester United,West Ham United,1-0,1,H
1931-02-28,Newcastle United,Sheffield United,1-0,1,H
1931-03-07,Leeds United,Newcastle United,1-0,1,H
1931-03-07,Sheffield United,West Ham United,1-2,1,A
1931-03-21,Leeds United,West Ham United,3-0,1,H
1931-03-28,Manchester United,Sheffield United,1-2,1,A
1931-03-28,Carlisle United,Hartlepool United,3-0,3,H
1931-04-03,Carlisle United,Rotherham United,1-2,3,A
1931-04-06,Sheffield United,Leeds United,1-1,1,D
1931-04-06,Rotherham United,Carlisle United,1-0,3,H
1931-04-07,Leeds United,Sheffield United,4-0,1,H
1931-04-11,Rotherham United,Hartlepool United,1-1,3,D
1931-08-29,Hartlepool United,Carlisle United,2-2,3,D
1931-09-07,Sheffield United,West Ham United,6-0,1,H
1931-09-19,West Ham United,Newcastle United,2-1,1,H
1931-09-21,West Ham United,Sheffield United,1-2,1,A
1931-11-07,Manchester United,Leeds United,2-5,2,A
1931-11-07,Rotherham United,Hartlepool United,1-2,3,A
1931-12-19,Newcastle United,Sheffield United,5-3,1,H
1931-12-19,Torquay United,Southend United,2-1,3,H
1932-01-02,Carlisle United,Hartlepool United,3-2,3,H
1932-01-30,Newcastle United,West Ham United,2-2,1,D
1932-03-19,Leeds United,Manchester United,1-4,2,A
1932-03-19,Hartlepool United,Rotherham United,1-4,3,A
1932-03-25,Carlisle United,Rotherham United,1-2,3,A
1932-03-28,Rotherham United,Carlisle United,4-1,3,H
